,,,,,,,
,Date,2020-08-29,,,,,
,File,E2-A High-Speed Flash,,,,,
,Rev,1,,,,,
,,,,,,,
,,,,,,,
Notes,,,,,,,
,,"Digikey is my preferred vendor (Good prices, cheapest shipping, ships from Winnipeg) but Mouser and others are good as well.  Same with eBay/Alibaba/Bangood.",,,,,
,,"Most components from eBay could be purchased from Digikey, just an increase in cost (but faster shipping!)",,,,,
,,DO NOT purchase LED’s from eBay/Alibaba.  Testing has shown that LED’s from untrustworthy vendors are a lower quality.,,,,,
,,The EMCB1 and ECC0 board components will come pre-installed on the boards if purchased from td0g.,,,,,
,,,,,,,
Part#,Ref,Manufacturer Model,Description,Qty,Suggested Vendor,Vendor Part #,Link
,,,,,,,
25,,Carbon Fibre-Infused PETG Filament,Plastic,0.5 kg,spool3d.ca,,https://spool3d.ca/filament/petg/1-75-mm/ 
26,,KCD1-101,Rectangular Power Switch,1,eBay,,https://www.ebay.ca/itm/5Pcs-KCD1-101-Red-Rocker-Switch-2-Pin-KCD1-101-250V-6A-Boatlike-Switch-ST/172245048336?hash=item281a9adc10:g:muYAAOSw9NBaWaOO 
27,,SJ1-3523N,3.5mm Jack – Out of stock,1,Digikey,CP1-3523N-ND,https://www.digikey.ca/en/products/detail/cui-devices/SJ1-3523N/738689
28,,EFP0,Aluminum faceplate,1,td0g,,
29,,M3 Grub 4mm screw,Battery Holder Screw,1,eBay,,
30,,1/4” - 3/8” thread adapter,Tripod Mounting Thread,1,Amazon.ca,,https://www.amazon.ca/Foto-Tech-Convert-Adapter-Ballhead/dp/B00OKYWWMG/ref=sr_1_4?dchild=1&keywords=1%2F4+3%2F8+screw&qid=1592524126&sr=8-4
31,SX1308,SX1308,Boost Converter,1,eBay,,
32,SX1308_R1,470R 1/8W 0805,Voltage Divider for boost converter,1,,,
33,SX1308_R2,9K1 1/8W 0805,Voltage Divider for boost converter,1,,,
34,EMCB1,EMCB1 PCB,PCB – Main control board,1,td0g,,
35,EMCB1,DIP-18 Socket,Socket for ATMEGA328P,1,,,
36,EMCB1,DIP-8 Socket,Socket for TC4452,1,,,
37,EMCB1_BZ1,Piezo Buzzer,Sound output,1,,,
38,EMCB1_C1,100nF 16V Ceramic THT Cap,,1,,,
39,EMCB1_C2,10uF 16V Ceramic Cap 1206,,1,,,
40,EMCB1_C3,220uF 16V Electrolytic THT Cap,,1,,,
41,"EMCB1_C4, EMCB1_C5",100nF 10V Caramic Cap 0805,,2,,,
42,EMCB1_C6,2.2nF 10V Ceramic THT Cap,,1,,,
43,"EMCB1_C8, EMCB1_C9",10uF 50V Ceramic Cap 0805,,2,,,
44,EMCB1_D1,1N4001 Diode,,1,,,
45,"EMCB1_D2, EMCB1_D4",1N4148,,3,,,
46,EMCB1_D5,1N5380,120V Zener,1,,,
47,EMCB1_U1,ATMEGA328P Microcontroller,Microcontroller,1,,ATMEGA328-PU-ND ,
48,EMCB1_U2,TC4452 Gate Driver,Gate Driver,1,,TC4452VPA-ND,
49,EMCB1_R1,33K 1/8W Res THT,,1,,,
50,"EMCB1_R3, EMCB1_R16",10K 1/8W Res 0805,,2,,,
51,EMCB1_R4,100R 1/8W Res 0805,,1,,,
52,"EMCB1_R5, EMCB1_R7, EMCB1_R10",68K 1/8W Res 0805,,3,,,
